title,star_rating,content_rating,genre,duration,actors_list
The Shawshank Redemption,9.3,R,Crime,142,"[u'Tim Robbins', u'Morgan Freeman', u'Bob Gunton']"
The Godfather,9.2,R,Crime,175,"[u'Marlon Brando', u'Al Pacino', u'James Caan']"
The Godfather: Part II,9.1,R,Crime,200,"[u'Al Pacino', u'Robert De Niro', u'Robert Duvall']"
The Dark Knight,9.0,PG-13,Action,152,"[u'Christian Bale', u'Heath Ledger', u'Aaron Eckhart']"
Pulp Fiction,8.9,R,Crime,154,"[u'John Travolta', u'Uma Thurman', u'Samuel L. Jackson']"
12 Angry Men,8.9,NOT RATED,Drama,96,"[u'Henry Fonda', u'Lee J. Cobb', u'Martin Balsam']"
"The Good, the Bad and the Ugly",8.9,NOT RATED,Western,161,"[u'Clint Eastwood', u'Eli Wallach', u'Lee Van Cleef']"
The Lord of the Rings: The Return of the King,8.9,PG-13,Adventure,201,"[u'Elijah Wood', u'Viggo Mortensen', u'Ian McKellen']"
Schindler's List,8.9,R,Biography,195,"[u'Liam Neeson', u'Ralph Fiennes', u'Ben Kingsley']"
Fight Club,8.9,R,Drama,139,"[u'Brad Pitt', u'Edward Norton', u'Helena Bonham Carter']"
The Lord of the Rings: The Fellowship of the Ring,8.8,PG-13,Adventure,178,"[u'Elijah Wood', u'Ian McKellen', u'Orlando Bloom']"
Inception,8.8,PG-13,Action,148,"[u'Leonardo DiCaprio', u'Joseph Gordon-Levitt', u'Ellen Page']"
Star Wars: Episode V - The Empire Strikes Back,8.8,PG,Action,124,"[u'Mark Hamill', u'Harrison Ford', u'Carrie Fisher']"
Forrest Gump,8.8,PG-13,Drama,142,"[u'Tom Hanks', u'Robin Wright', u'Gary Sinise']"
The Lord of the Rings: The Two Towers,8.8,PG-13,Adventure,179,"[u'Elijah Wood', u'Ian McKellen', u'Viggo Mortensen']"
Interstellar,8.7,PG-13,Adventure,169,"[u'Matthew McConaughey', u'Anne Hathaway', u'Jessica Chastain']"
One Flew Over the Cuckoo's Nest,8.7,R,Drama,133,"[u'Jack Nicholson', u'Louise Fletcher', u'Michael Berryman']"
Seven Samurai,8.7,UNRATED,Drama,207,"[u'Toshir\xf4 Mifune', u'Takashi Shimura', u'Keiko Tsushima']"
Goodfellas,8.7,R,Biography,146,"[u'Robert De Niro', u'Ray Liotta', u'Joe Pesci']"
Star Wars,8.7,PG,Action,121,"[u'Mark Hamill', u'Harrison Ford', u'Carrie Fisher']"
The Matrix,8.7,R,Action,136,"[u'Keanu Reeves', u'Laurence Fishburne', u'Carrie-Anne Moss']"
City of God,8.7,R,Crime,130,"[u'Alexandre Rodrigues', u'Matheus Nachtergaele', u'Leandro Firmino']"
It's a Wonderful Life,8.7,APPROVED,Drama,130,"[u'James Stewart', u'Donna Reed', u'Lionel Barrymore']"
The Usual Suspects,8.7,R,Crime,106,"[u'Kevin Spacey', u'Gabriel Byrne', u'Chazz Palminteri']"
Se7en,8.7,R,Drama,127,"[u'Morgan Freeman', u'Brad Pitt', u'Kevin Spacey']"
Life Is Beautiful,8.6,PG-13,Comedy,116,"[u'Roberto Benigni', u'Nicoletta Braschi', u'Giorgio Cantarini']"
Once Upon a Time in the West,8.6,PG-13,Western,175,"[u'Henry Fonda', u'Charles Bronson', u'Claudia Cardinale']"
The Silence of the Lambs,8.6,R,Drama,118,"[u'Jodie Foster', u'Anthony Hopkins', u'Lawrence A. Bonney']"
Leon: The Professional,8.6,R,Crime,110,"[u'Jean Reno', u'Gary Oldman', u'Natalie Portman']"
City Lights,8.6,PASSED,Comedy,87,"[u'Charles Chaplin', u'Virginia Cherrill', u'Florence Lee']"
Spirited Away,8.6,PG,Animation,125,"[u'Daveigh Chase', u'Suzanne Pleshette', u'Miyu Irino']"
The Intouchables,8.6,R,Biography,112,"[u'Fran\xe7ois Cluzet', u'Omar Sy', u'Anne Le Ny']"
Casablanca,8.6,PG,Drama,102,"[u'Humphrey Bogart', u'Ingrid Bergman', u'Paul Henreid']"
Whiplash,8.6,R,Drama,107,"[u'Miles Teller', u'J.K. Simmons', u'Melissa Benoist']"
American History X,8.6,R,Crime,119,"[u'Edward Norton', u'Edward Furlong', u""Beverly D'Angelo""]"
Modern Times,8.6,G,Comedy,87,"[u'Charles Chaplin', u'Paulette Goddard', u'Henry Bergman']"
Saving Private Ryan,8.6,R,Action,169,"[u'Tom Hanks', u'Matt Damon', u'Tom Sizemore']"
Raiders of the Lost Ark,8.6,PG,Action,115,"[u'Harrison Ford', u'Karen Allen', u'Paul Freeman']"
Rear Window,8.6,APPROVED,Mystery,112,"[u'James Stewart', u'Grace Kelly', u'Wendell Corey']"
Psycho,8.6,R,Horror,109,"[u'Anthony Perkins', u'Janet Leigh', u'Vera Miles']"
The Green Mile,8.5,R,Crime,189,"[u'Tom Hanks', u'Michael Clarke Duncan', u'David Morse']"
Sunset Blvd.,8.5,NOT RATED,Drama,110,"[u'William Holden', u'Gloria Swanson', u'Erich von Stroheim']"
The Pianist,8.5,R,Biography,150,"[u'Adrien Brody', u'Thomas Kretschmann', u'Frank Finlay']"
The Dark Knight Rises,8.5,PG-13,Action,165,"[u'Christian Bale', u'Tom Hardy', u'Anne Hathaway']"
Gladiator,8.5,R,Action,155,"[u'Russell Crowe', u'Joaquin Phoenix', u'Connie Nielsen']"
Terminator 2: Judgment Day,8.5,R,Action,137,"[u'Arnold Schwarzenegger', u'Linda Hamilton', u'Edward Furlong']"
Memento,8.5,R,Mystery,113,"[u'Guy Pearce', u'Carrie-Anne Moss', u'Joe Pantoliano']"
Taare Zameen Par,8.5,PG,Drama,165,"[u'Darsheel Safary', u'Aamir Khan', u'Tanay Chheda']"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.5,PG,Comedy,95,"[u'Peter Sellers', u'George C. Scott', u'Sterling Hayden']"
The Departed,8.5,R,Crime,151,"[u'Leonardo DiCaprio', u'Matt Damon', u'Jack Nicholson']"
Cinema Paradiso,8.5,R,Drama,155,"[u'Philippe Noiret', u'Enzo Cannavale', u'Antonella Attili']"
Apocalypse Now,8.5,R,Drama,153,"[u'Martin Sheen', u'Marlon Brando', u'Robert Duvall']"
The Great Dictator,8.5,APPROVED,Comedy,125,"[u'Charles Chaplin', u'Paulette Goddard', u'Jack Oakie']"
The Prestige,8.5,PG-13,Drama,130,"[u'Christian Bale', u'Hugh Jackman', u'Scarlett Johansson']"
Back to the Future,8.5,PG,Adventure,116,"[u'Michael J. Fox', u'Christopher Lloyd', u'Lea Thompson']"
The Lion King,8.5,G,Animation,89,"[u'Matthew Broderick', u'Jeremy Irons', u'James Earl Jones']"
The Lives of Others,8.5,R,Drama,137,"[u'Ulrich M\xfche', u'Martina Gedeck', u'Sebastian Koch']"
Alien,8.5,R,Horror,117,"[u'Sigourney Weaver', u'Tom Skerritt', u'John Hurt']"
Paths of Glory,8.5,APPROVED,Drama,88,"[u'Kirk Douglas', u'Ralph Meeker', u'Adolphe Menjou']"
Django Unchained,8.5,R,Western,165,"[u'Jamie Foxx', u'Christoph Waltz', u'Leonardo DiCaprio']"
3 Idiots,8.5,PG-13,Comedy,170,"[u'Aamir Khan', u'Madhavan', u'Mona Singh']"
Grave of the Fireflies,8.5,UNRATED,Animation,89,"[u'Tsutomu Tatsumi', u'Ayano Shiraishi', u'Akemi Yamaguchi']"
The Shining,8.5,R,Horror,146,"[u'Jack Nicholson', u'Shelley Duvall', u'Danny Lloyd']"
M,8.4,NOT RATED,Crime,99,"[u'Peter Lorre', u'Ellen Widmann', u'Inge Landgut']"
WALL-E,8.4,G,Animation,98,"[u'Ben Burtt', u'Elissa Knight', u'Jeff Garlin']"
Witness for the Prosecution,8.4,APPROVED,Crime,116,"[u'Tyrone Power', u'Marlene Dietrich', u'Charles Laughton']"
Munna Bhai M.B.B.S.,8.4,NOT RATED,Comedy,156,"[u'Sunil Dutt', u'Sanjay Dutt', u'Arshad Warsi']"
American Beauty,8.4,R,Drama,122,"[u'Kevin Spacey', u'Annette Bening', u'Thora Birch']"
Das Boot,8.4,R,Adventure,149,"[u'J\xfcrgen Prochnow', u'Herbert Gr\xf6nemeyer', u'Klaus Wennemann']"
Princess Mononoke,8.4,PG-13,Animation,134,"[u'Y\xf4ji Matsuda', u'Yuriko Ishida', u'Y\xfbko Tanaka']"
Amelie,8.4,R,Comedy,122,"[u'Audrey Tautou', u'Mathieu Kassovitz', u'Rufus']"
North by Northwest,8.4,APPROVED,Adventure,136,"[u'Cary Grant', u'Eva Marie Saint', u'James Mason']"
Rang De Basanti,8.4,NOT RATED,Drama,157,"[u'Aamir Khan', u'Soha Ali Khan', u'Siddharth']"
Jodaeiye Nader az Simin,8.4,PG-13,Drama,123,"[u'Peyman Moaadi', u'Leila Hatami', u'Sareh Bayat']"
Citizen Kane,8.4,APPROVED,Drama,119,"[u'Orson Welles', u'Joseph Cotten', u'Dorothy Comingore']"
Aliens,8.4,R,Action,137,"[u'Sigourney Weaver', u'Michael Biehn', u'Carrie Henn']"
Vertigo,8.4,APPROVED,Mystery,128,"[u'James Stewart', u'Kim Novak', u'Barbara Bel Geddes']"
Oldeuboi,8.4,R,Drama,120,"[u'Min-sik Choi', u'Ji-tae Yu', u'Hye-jeong Kang']"
Once Upon a Time in America,8.4,R,Crime,229,"[u'Robert De Niro', u'James Woods', u'Elizabeth McGovern']"
Double Indemnity,8.4,PASSED,Crime,107,"[u'Fred MacMurray', u'Barbara Stanwyck', u'Edward G. Robinson']"
Star Wars: Episode VI - Return of the Jedi,8.4,PG,Action,134,"[u'Mark Hamill', u'Harrison Ford', u'Carrie Fisher']"
Toy Story 3,8.4,G,Animation,103,"[u'Tom Hanks', u'Tim Allen', u'Joan Cusack']"
Braveheart,8.4,R,Action,177,"[u'Mel Gibson', u'Sophie Marceau', u'Patrick McGoohan']"
To Kill a Mockingbird,8.4,NOT RATED,Drama,129,"[u'Gregory Peck', u'John Megna', u'Frank Overton']"
Requiem for a Dream,8.4,R,Drama,102,"[u'Ellen Burstyn', u'Jared Leto', u'Jennifer Connelly']"
Lawrence of Arabia,8.4,PG,Adventure,216,"[u""Peter O'Toole"", u'Alec Guinness', u'Anthony Quinn']"
A Clockwork Orange,8.4,X,Crime,136,"[u'Malcolm McDowell', u'Patrick Magee', u'Michael Bates']"
Bicycle Thieves,8.4,NOT RATED,Drama,93,"[u'Lamberto Maggiorani', u'Enzo Staiola', u'Lianella Carell']"
The Kid,8.4,NOT RATED,Comedy,68,"[u'Charles Chaplin', u'Edna Purviance', u'Jackie Coogan']"
Swades,8.4,NOT RATED,Drama,189,"[u'Shah Rukh Khan', u'Gayatri Joshi', u'Kishori Balal']"
Reservoir Dogs,8.4,R,Crime,99,"[u'Harvey Keitel', u'Tim Roth', u'Michael Madsen']"
Eternal Sunshine of the Spotless Mind,8.4,R,Drama,108,"[u'Jim Carrey', u'Kate Winslet', u'Tom Wilkinson']"
Taxi Driver,8.4,R,Crime,113,"[u'Robert De Niro', u'Jodie Foster', u'Cybill Shepherd']"
Dilwale Dulhania Le Jayenge,8.4,NOT RATED,Comedy,181,"[u'Shah Rukh Khan', u'Kajol', u'Amrish Puri']"
Singin' in the Rain,8.4,APPROVED,Comedy,103,"[u'Gene Kelly', u""Donald O'Connor"", u'Debbie Reynolds']"
All About Eve,8.4,APPROVED,Drama,138,"[u'Bette Davis', u'Anne Baxter', u'George Sanders']"
Yojimbo,8.4,UNRATED,Action,110,"[u'Toshir\xf4 Mifune', u'Eijir\xf4 T\xf4no', u'Tatsuya Nakadai']"
The Sting,8.4,PG,Comedy,129,"[u'Paul Newman', u'Robert Redford', u'Robert Shaw']"
Rashomon,8.4,UNRATED,Crime,88,"[u'Toshir\xf4 Mifune', u'Machiko Ky\xf4', u'Masayuki Mori']"
Amadeus,8.4,R,Biography,160,"[u'F. Murray Abraham', u'Tom Hulce', u'Elizabeth Berridge']"
The Treasure of the Sierra Madre,8.3,NOT RATED,Action,126,"[u'Humphrey Bogart', u'Walter Huston', u'Tim Holt']"
Monty Python and the Holy Grail,8.3,PG,Adventure,91,"[u'Graham Chapman', u'John Cleese', u'Eric Idle']"
Full Metal Jacket,8.3,R,Drama,116,"[u'Matthew Modine', u'R. Lee Ermey', u""Vincent D'Onofrio""]"
The Apartment,8.3,APPROVED,Comedy,125,"[u'Jack Lemmon', u'Shirley MacLaine', u'Fred MacMurray']"
Ikiru,8.3,NOT RATED,Drama,143,"[u'Takashi Shimura', u'Nobuo Kaneko', u""Shin'ichi Himori""]"
The Third Man,8.3,NOT RATED,Film-Noir,93,"[u'Orson Welles', u'Joseph Cotten', u'Alida Valli']"
Snatch.,8.3,R,Comedy,102,"[u'Jason Statham', u'Brad Pitt', u'Benicio Del Toro']"
For a Few Dollars More,8.3,APPROVED,Western,132,"[u'Clint Eastwood', u'Lee Van Cleef', u'Gian Maria Volont\xe9']"
Metropolis,8.3,NOT RATED,Drama,153,"[u'Brigitte Helm', u'Alfred Abel', u'Gustav Fr\xf6hlich']"
Dil Chahta Hai,8.3,NOT RATED,Comedy,183,"[u'Aamir Khan', u'Saif Ali Khan', u'Akshaye Khanna']"
2001: A Space Odyssey,8.3,G,Mystery,160,"[u'Keir Dullea', u'Gary Lockwood', u'William Sylvester']"
Some Like It Hot,8.3,NOT RATED,Comedy,120,"[u'Marilyn Monroe', u'Tony Curtis', u'Jack Lemmon']"
L.A. Confidential,8.3,R,Crime,138,"[u'Kevin Spacey', u'Russell Crowe', u'Guy Pearce']"
Batman Begins,8.3,PG-13,Action,140,"[u'Christian Bale', u'Michael Caine', u'Ken Watanabe']"
Inglourious Basterds,8.3,R,Adventure,153,"[u'Brad Pitt', u'Diane Kruger', u'Eli Roth']"
Scarface,8.3,R,Crime,170,"[u'Al Pacino', u'Michelle Pfeiffer', u'Steven Bauer']"
Mr. Smith Goes to Washington,8.3,NOT RATED,Drama,129,"[u'James Stewart', u'Jean Arthur', u'Claude Rains']"
Toy Story,8.3,G,Animation,81,"[u'Tom Hanks', u'Tim Allen', u'Don Rickles']"
Indiana Jones and the Last Crusade,8.3,PG-13,Action,127,"[u'Harrison Ford', u'Sean Connery', u'Alison Doody']"
Unforgiven,8.3,R,Western,131,"[u'Clint Eastwood', u'Gene Hackman', u'Morgan Freeman']"
The Great Escape,8.3,UNRATED,Adventure,172,"[u'Steve McQueen', u'James Garner', u'Richard Attenborough']"
Jagten,8.3,R,Drama,115,"[u'Mads Mikkelsen', u'Thomas Bo Larsen', u'Annika Wedderkopp']"
On the Waterfront,8.3,NOT RATED,Crime,108,"[u'Marlon Brando', u'Karl Malden', u'Lee J. Cobb']"
The General,8.3,UNRATED,Action,107,"[u'Buster Keaton', u'Marion Mack', u'Glen Cavender']"
Raging Bull,8.3,R,Biography,129,"[u'Robert De Niro', u'Cathy Moriarty', u'Joe Pesci']"
Downfall,8.3,R,Biography,156,"[u'Bruno Ganz', u'Alexandra Maria Lara', u'Ulrich Matthes']"
Up,8.3,PG,Animation,96,"[u'Edward Asner', u'Jordan Nagai', u'John Ratzenberger']"
Wild Strawberries,8.3,UNRATED,Drama,91,"[u'Victor Sj\xf6str\xf6m', u'Bibi Andersson', u'Ingrid Thulin']"
The Gold Rush,8.3,NOT RATED,Adventure,95,"[u'Charles Chaplin', u'Mack Swain', u'Tom Murray']"
Ran,8.3,R,Action,162,"[u'Tatsuya Nakadai', u'Akira Terao', u'Jinpachi Nezu']"
Chinatown,8.3,R,Drama,130,"[u'Jack Nicholson', u'Faye Dunaway', u'John Huston']"
My Neighbor Totoro,8.3,G,Animation,86,"[u'Hitoshi Takagi', u'Noriko Hidaka', u'Chika Sakamoto']"
Judgment at Nuremberg,8.3,NOT RATED,Drama,186,"[u'Spencer Tracy', u'Burt Lancaster', u'Richard Widmark']"
Barfi!,8.3,NOT RATED,Adventure,151,"[u'Ranbir Kapoor', u'Priyanka Chopra', u'Ileana']"
The Seventh Seal,8.3,NOT RATED,Drama,96,"[u'Max von Sydow', u'Gunnar Bj\xf6rnstrand', u'Bengt Ekerot']"
Heat,8.3,R,Action,170,"[u'Al Pacino', u'Robert De Niro', u'Val Kilmer']"
Pan's Labyrinth,8.3,R,Drama,118,"[u'Ivana Baquero', u'Ariadna Gil', u'Sergi L\xf3pez']"
The Bridge on the River Kwai,8.3,PG,Adventure,161,"[u'William Holden', u'Alec Guinness', u'Jack Hawkins']"
Die Hard,8.3,R,Action,131,"[u'Bruce Willis', u'Alan Rickman', u'Bonnie Bedelia']"
Good Will Hunting,8.3,R,Drama,126,"[u'Robin Williams', u'Matt Damon', u'Ben Affleck']"
The Wages of Fear,8.3,NOT RATED,Adventure,131,"[u'Yves Montand', u'Charles Vanel', u'Peter van Eyck']"
The Secret in Their Eyes,8.3,R,Drama,129,"[u'Ricardo Dar\xedn', u'Soledad Villamil', u'Pablo Rago']"
Lagaan: Once Upon a Time in India,8.3,PG,Adventure,224,"[u'Aamir Khan', u'Gracy Singh', u'Rachel Shelley']"
The Wolf of Wall Street,8.2,R,Biography,180,"[u'Leonardo DiCaprio', u'Jonah Hill', u'Margot Robbie']"
It Happened One Night,8.2,UNRATED,Comedy,105,"[u'Clark Gable', u'Claudette Colbert', u'Walter Connolly']"
Blade Runner,8.2,R,Sci-Fi,117,"[u'Harrison Ford', u'Rutger Hauer', u'Sean Young']"
Warrior,8.2,PG-13,Drama,140,"[u'Tom Hardy', u'Nick Nolte', u'Joel Edgerton']"
Howl's Moving Castle,8.2,PG,Animation,119,"[u'Chieko Baish\xf4', u'Takuya Kimura', u'Tatsuya Gash\xfbin']"
The Elephant Man,8.2,PG,Biography,124,"[u'Anthony Hopkins', u'John Hurt', u'Anne Bancroft']"
Rebecca,8.2,NOT RATED,Mystery,130,"[u'Laurence Olivier', u'Joan Fontaine', u'George Sanders']"
Incendies,8.2,R,Drama,139,"[u'Lubna Azabal', u'M\xe9lissa D\xe9sormeaux-Poulin', u'Maxim Gaudette']"
"Lock, Stock and Two Smoking Barrels",8.2,R,Comedy,107,"[u'Jason Flemyng', u'Dexter Fletcher', u'Nick Moran']"
V for Vendetta,8.2,R,Action,132,"[u'Hugo Weaving', u'Natalie Portman', u'Rupert Graves']"
The Big Lebowski,8.2,R,Comedy,117,"[u'Jeff Bridges', u'John Goodman', u'Julianne Moore']"
Cool Hand Luke,8.2,PG,Crime,126,"[u'Paul Newman', u'George Kennedy', u'Strother Martin']"
Relatos salvajes,8.2,R,Comedy,122,"[u'Dar\xedo Grandinetti', u'Mar\xeda Marull', u'M\xf3nica Villa']"
Casino,8.2,R,Biography,178,"[u'Robert De Niro', u'Sharon Stone', u'Joe Pesci']"
Gone with the Wind,8.2,G,Drama,238,"[u'Clark Gable', u'Vivien Leigh', u'Thomas Mitchell']"
Gone Girl,8.2,R,Drama,149,"[u'Ben Affleck', u'Rosamund Pike', u'Neil Patrick Harris']"
The Best Years of Our Lives,8.2,PASSED,Drama,172,"[u'Fredric March', u'Dana Andrews', u'Myrna Loy']"
How to Train Your Dragon,8.2,PG,Animation,98,"[u'Jay Baruchel', u'Gerard Butler', u'Christopher Mintz-Plasse']"
Diabolique,8.2,UNRATED,Horror,116,"[u'Simone Signoret', u'V\xe9ra Clouzot', u'Paul Meurisse']"
Gran Torino,8.2,R,Drama,116,"[u'Clint Eastwood', u'Bee Vang', u'Christopher Carley']"
Rush,8.2,R,Action,123,"[u'Daniel Br\xfchl', u'Chris Hemsworth', u'Olivia Wilde']"
Into the Wild,8.2,R,Adventure,148,"[u'Emile Hirsch', u'Vince Vaughn', u'Catherine Keener']"
My Sassy Girl,8.2,NOT RATED,Comedy,123,"[u'Tae-hyun Cha', u'Gianna Jun', u'In-mun Kim']"
The Deer Hunter,8.2,R,Drama,182,"[u'Robert De Niro', u'Christopher Walken', u'John Cazale']"
Mary and Max,8.2,NOT RATED,Animation,92,"[u'Toni Collette', u'Philip Seymour Hoffman', u'Eric Bana']"
Hachi: A Dog's Tale,8.2,G,Drama,93,"[u'Richard Gere', u'Joan Allen', u'Cary-Hiroyuki Tagawa']"
The Maltese Falcon,8.2,NOT RATED,Crime,100,"[u'Humphrey Bogart', u'Mary Astor', u'Gladys George']"
A Beautiful Mind,8.2,PG-13,Biography,135,"[u'Russell Crowe', u'Ed Harris', u'Jennifer Connelly']"
Dial M for Murder,8.2,PG,Crime,105,"[u'Ray Milland', u'Grace Kelly', u'Robert Cummings']"
Trainspotting,8.2,R,Drama,94,"[u'Ewan McGregor', u'Ewen Bremner', u'Jonny Lee Miller']"
Tae Guk Gi: The Brotherhood of War,8.2,R,Action,140,"[u'Dong-gun Jang', u'Bin Won', u'Eun-ju Lee']"
Persona,8.2,NOT RATED,Drama,83,"[u'Bibi Andersson', u'Liv Ullmann', u'Margaretha Krook']"
Touch of Evil,8.2,PG-13,Crime,95,"[u'Charlton Heston', u'Orson Welles', u'Janet Leigh']"
Fargo,8.2,R,Crime,98,"[u'William H. Macy', u'Frances McDormand', u'Steve Buscemi']"
The Avengers,8.2,PG-13,Action,143,"[u'Robert Downey Jr.', u'Chris Evans', u'Scarlett Johansson']"
The 400 Blows,8.2,NOT RATED,Crime,99,"[u'Jean-Pierre L\xe9aud', u'Albert R\xe9my', u'Claire Maurier']"
The Princess Bride,8.2,PG,Adventure,98,"[u'Cary Elwes', u'Mandy Patinkin', u'Robin Wright']"
Hotel Rwanda,8.2,PG-13,Drama,121,"[u'Don Cheadle', u'Sophie Okonedo', u'Joaquin Phoenix']"
Stalker,8.2,NOT RATED,Drama,163,"[u'Alisa Freyndlikh', u'Aleksandr Kaydanovskiy', u'Anatoliy Solonitsyn']"
The Battle of Algiers,8.2,NOT RATED,Crime,121,"[u'Brahim Hadjadj', u'Jean Martin', u'Yacef Saadi']"
Underground,8.2,NOT RATED,Comedy,167,"[u'Predrag Manojlovic', u'Lazar Ristovski', u'Mirjana Jokovic']"
Fanny and Alexander,8.2,R,Drama,188,"[u'Bertil Guve', u'Pernilla Allwin', u'Kristina Adolphson']"
Network,8.2,R,Drama,121,"[u'Faye Dunaway', u'William Holden', u'Peter Finch']"
The Thing,8.2,R,Horror,109,"[u'Kurt Russell', u'Wilford Brimley', u'Keith David']"
Butch Cassidy and the Sundance Kid,8.2,,Biography,110,"[u'Paul Newman', u'Robert Redford', u'Katharine Ross']"
The Grapes of Wrath,8.2,NOT RATED,Drama,129,"[u'Henry Fonda', u'Jane Darwell', u'John Carradine']"
"Black Cat, White Cat",8.2,R,Comedy,127,"[u'Bajram Severdzan', u'Srdjan Todorovic', u'Branka Katic']"
Life of Brian,8.2,R,Comedy,94,"[u'Graham Chapman', u'John Cleese', u'Michael Palin']"
The Sixth Sense,8.2,PG-13,Drama,107,"[u'Bruce Willis', u'Haley Joel Osment', u'Toni Collette']"
